recommendation_set_id,valid_combination_count,primary_tasks,data_forms,target_audiences,display_levels,comparison_foci,comparison_structures,temporal_contexts,n_overlaid_series_values,n_comparison_levels_values,n_compositional_parts_values,recommendation_count,recommendation_names,recommendation_visual_mappings,recommendation_ranks,recommendation_rationales,recommendation_use_when,recommendation_cautions,recommendation_example_images,recommendation_example_sources,recommendation_example_code_files,representative_combination_id,representative_decision_path,example_data_form,example_primary_task,example_display_level,example_comparison_focus,example_comparison_structure,example_show_variability,example_many_observations,example_target_audience,example_temporal_context,example_n_overlaid_series,example_n_comparison_levels,example_n_compositional_parts,review_status,review_notes
RS001,1920,temporal_pattern,continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4,1 | 2 | 3,None,2,Observation-by-time heatmap | Small-multiple time-series plots,"Rows represent participants, participant-days, bouts, or another defined observation unit; columns represent time, and colour encodes the metric value. | Each panel contains a time-series plot with time on the x-axis and the metric on the y-axis; panels separate participants, groups, days, or conditions.",primary | alternative,Shows many temporal profiles without overlapping a large number of lines. | Retains precise position encoding while separating overlapping series.,"Use for repeated days or participants when individual patterns matter. | Use when the number of participants, groups, or conditions is small.",Choose row ordering and colour scale deliberately; colour is less precise than position for comparing values. | Use identical axes across panels when comparisons are intended.,examples/figures/observation_by_time_heatmap.png | examples/figures/small_multiple_time_series_plots.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C009679,Primary task: Temporal pattern | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,continuous_signal,temporal_pattern,individual,conditions,independent,False,True,general,full_24h,1,1,,To review,
RS002,1440,temporal_pattern,classified_behaviour | composition,general | technical,individual,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,1,Behaviour timeline (tile plot),"Time is shown on the x-axis, each row or band represents a selected participant/day, and colour encodes the classified behaviour at each time.",primary,Preserves the sequence and timing of classified behaviours.,"Use for one participant, one day, or a small number of selected days.",Many timelines become difficult to compare; use a heatmap or summary profile when the number of observations grows.,examples/figures/behaviour_timeline_tile_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001981,Primary task: Temporal pattern | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,classified_behaviour,temporal_pattern,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS003,1440,temporal_pattern,classified_behaviour | composition,general | technical,multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,1,Behaviour-by-time heatmap,"Rows represent participants, participant-days, bouts, or another defined observation unit; columns represent time, and colour encodes behaviour category.",primary,Shows repeated daily sequences while retaining clock-time position.,Use when many participants or days need to be scanned for patterns.,Order rows deliberately and explain how missing or non-wear time is shown.,examples/figures/behaviour_by_time_heatmap.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C002701,"Primary task: Temporal pattern | Form of accelerometer metric: Classified behaviour | Display level: Multiple participants, days, or bouts | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1",classified_behaviour,temporal_pattern,multiple_observations,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS004,1440,temporal_pattern,classified_behaviour | composition,general | technical,summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,2,Proportion-over-time profile | Stacked area profile,"The x-axis represents time, the y-axis represents the proportion of participants, days, or other observed units in each behaviour category, and lines or panels separate behaviours or comparison groups. | The x-axis represents time, the stacked coloured bands represent behaviour categories, and the total height represents the full behavioural composition.",primary | alternative,Shows how the prevalence of each classified behaviour changes over time. | Emphasises how the full behavioural composition changes over time.,"Use for an aggregated temporal pattern, with groups in separate panels or clearly distinguishable series. | Use when the parts-to-whole message is more important than precise comparison of each behaviour.","The proportions at each time point form a composition; do not interpret each behaviour as independent. | Only the lowest band has a common baseline, so small differences in other behaviours are difficult to compare.",examples/figures/proportion_over_time_profile.png | examples/figures/stacked_area_profile.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C003421,Primary task: Temporal pattern | Form of accelerometer metric: Classified behaviour | Display level: Summary values only | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,classified_behaviour,temporal_pattern,summary,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS005,972,composition,classified_behaviour | composition,general,individual | multiple_observations | summary,conditions | groups | time,independent | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,2 | 3 | 4,3,Pie or doughnut chart | 100% stacked bar chart | Small-multiple composition bars,"Each slice represents a movement-behaviour category and slice angle or area represents that category's proportion of the fixed whole. | Each bar represents a fixed whole for one group, day, or condition; coloured segments represent movement-behaviour categories and segment length represents proportion. | Each panel represents a group, day, or condition; within each panel, 100% stacked bars show behaviour categories as proportional segments of a fixed whole.",primary | comparison alternative | alternative,Uses a familiar parts-of-a-whole display for movement-behaviour proportions. | Shows the same fixed whole with segment lengths that are easier to compare. | Separates comparisons while preserving the parts-to-whole structure.,"Use for one composition or a very small set of simple compositions intended for non-specialist audiences. | Use when proportions need to be compared across groups, days, or conditions. | Use when one stacked panel would contain too many groups or time points.","Avoid many slices or many pies; use direct labels and switch to a 100% stacked bar when precise comparison is the main message. | Only the first segment has a common baseline; use direct labels and a consistent behaviour order. | Use the same segment order, colours, and scale in every panel.",examples/figures/pie_or_doughnut_chart.png | examples/figures/100_percent_stacked_bar_chart.png | examples/figures/small_multiple_composition_bars.png,Simulated mock data | Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C000361,Primary task: Composition | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent) | Compositional parts: 2,classified_behaviour,composition,individual,conditions,independent,False,False,general,full_24h,1,1,2,To review,
RS006,960,temporal_pattern,continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,7,1 | 2 | 3,None,1,Observation-by-time heatmap,"Rows represent participants, participant-days, bouts, or another defined observation unit; columns represent time, and colour encodes the metric value.",primary,Shows many temporal profiles without overlapping a large number of lines.,Use for repeated days or participants when individual patterns matter.,Choose row ordering and colour scale deliberately; colour is less precise than position for comparing values.,examples/figures/observation_by_time_heatmap.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C009681,Primary task: Temporal pattern | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent) | Temporal series intended for one panel: 7,continuous_signal,temporal_pattern,individual,conditions,independent,False,True,general,full_24h,7,1,,To review,
RS007,720,temporal_pattern,continuous_signal | derived_metric,general | technical,individual,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,1,Time-series line plot,"The x-axis represents time, the y-axis represents the metric value, and each line represents a participant, day, group, or condition.",primary,"Preserves the order, direction, and magnitude of change over time.",Use for one participant/day or a small number of readable series.,Do not connect observations across meaningful gaps or non-wear periods.,examples/figures/time_series_line_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C009661,Primary task: Temporal pattern | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,continuous_signal,temporal_pattern,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS008,648,composition,classified_behaviour | composition,technical,individual | multiple_observations | summary,conditions | groups | time,independent | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,2 | 4,2,100% stacked bar chart | Small-multiple composition bars,"Each bar represents a fixed whole for one group, day, or condition; coloured segments represent movement-behaviour categories and segment length represents proportion. | Each panel represents a group, day, or condition; within each panel, 100% stacked bars show behaviour categories as proportional segments of a fixed whole.",primary | alternative,Shows how a fixed whole is divided among movement behaviours. | Separates comparisons while preserving the parts-to-whole structure.,"Use for one composition or comparisons across a modest number of groups, days, or conditions. | Use when one stacked panel would contain too many groups or time points.","Only the first segment has a common baseline; use direct labels and a consistent behaviour order. | Use the same segment order, colours, and scale in every panel.",examples/figures/100_percent_stacked_bar_chart.png | examples/figures/small_multiple_composition_bars.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C000370,Primary task: Composition | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent) | Compositional parts: 2,classified_behaviour,composition,individual,conditions,independent,False,False,technical,full_24h,1,1,2,To review,
RS009,648,distribution,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | time,independent | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,2,Box or violin plot with raw points | Faceted density or ECDF plot,"Categories are shown on one axis, metric values on the other; the box or violin shows the distribution and points show individual participants, days, bouts, or other observed units. | Each panel represents a group, time point, or condition; the x-axis shows the metric value and the curve shows the distribution or cumulative distribution.",primary | alternative,Compares distributions while retaining information about spread and observations. | Supports comparison of full distributions without forcing them into one panel.,"Use for independent groups, time points, or conditions. | Use when distribution shape is the main message and groups would overlap.",A box plot hides distribution shape; a violin plot can overstate detail in small samples. | Use shared scales across facets.,examples/figures/box_or_violin_plot_with_raw_points.png | examples/figures/faceted_density_or_ecdf_plot.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C001441,Primary task: Distribution | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent),classified_behaviour,distribution,individual,conditions,independent,True,False,general,full_24h,1,1,,To review,
RS010,480,event_pattern,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Event raster or time-bin heatmap,"Rows represent participants, participant-days, bouts, or another defined observation unit; columns represent time bins, and marks or colour intensity encode event presence or frequency.",primary,Shows event frequency and timing across many participants or days.,Use when both between-observation variation and timing matter.,Explain row ordering and time-bin width.,examples/figures/event_raster_or_time_bin_heatmap.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001741,"Primary task: Event pattern | Form of accelerometer metric: Classified behaviour | Display level: Multiple participants, days, or bouts | Comparison: Conditions (Independent)",classified_behaviour,event_pattern,multiple_observations,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS011,480,event_pattern,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Event timeline or raster plot,"Time is shown on the x-axis, rows represent participants, participant-days, bouts, or event types, and marks or coloured segments show when events occur.",primary,"Shows exactly when bouts, transitions, or events occur.",Use for one participant/day or a small selected set.,"Define the event and show gaps, non-wear, or observation windows clearly.",examples/figures/event_timeline_or_raster_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001621,Primary task: Event pattern | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent),classified_behaviour,event_pattern,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS012,480,event_pattern,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Event-frequency time profile,"The x-axis represents time or time bins, the y-axis represents event frequency or rate, and the line or bars summarise events across participants, days, bouts, or other observed units.",primary,Shows when events are most common across the observed sample.,Use for an aggregated timing or frequency pattern.,State the denominator and bin width so frequencies can be interpreted.,examples/figures/event_frequency_time_profile.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001861,Primary task: Event pattern | Form of accelerometer metric: Classified behaviour | Display level: Summary values only | Comparison: Conditions (Independent),classified_behaviour,event_pattern,summary,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS013,480,relationship,continuous_signal | derived_metric,general | technical,individual | multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Hexbin or two-dimensional density plot,One axis represents the accelerometer metric and the other represents the second continuous variable; colour intensity represents the number or density of paired data units in each bin.,primary,Directly shows where observations are concentrated when individual points overlap.,Use for a large number of paired observations containing an accelerometer metric and another continuous measured variable.,Bin or bandwidth choices affect appearance; report them and avoid hiding important subgroups.,case_study/figures/figure_07_weekday_weekend_relationship.png,NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C009187,Primary task: Relationship | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent),continuous_signal,relationship,individual,conditions,independent,False,True,general,full_24h,1,1,,To review,
RS014,480,relationship,continuous_signal | derived_metric,general | technical,individual | multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Scatter plot,"One axis represents the accelerometer metric, the other represents the second continuous variable, and each point represents one paired participant-, day-, bout-, or period-level value.",primary,Directly shows paired observed values and the form of their relationship.,Use when one axis is an accelerometer metric and the other is another continuous measured variable.,"This is a descriptive display of observed values, not a model result or evidence of causality.",examples/figures/scatter_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C009181,Primary task: Relationship | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent),continuous_signal,relationship,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS015,432,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | time,paired_repeated,full_24h | not_applicable | wake_time,1,2,None,1,Paired dot plot or slope chart,"The x-axis represents the two linked time points or conditions, the y-axis represents the metric value, and paired marks or lines connect the linked values. When only summaries are shown, points represent paired summary estimates and optional intervals represent uncertainty.",primary,"Shows the direction and size of a two-level paired difference, either for observed units or for paired summary estimates.","Use for two linked time points or conditions, including summary weekday-versus-weekend or pre-post estimates when individual paired values are not displayed.",Do not draw participant-level connecting lines when only summary estimates are available; use a summary paired/dumbbell layout with clearly labelled intervals instead.,case_study/figures/figure_01_overall_weekday_weekend_mims.png,NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C000013,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Paired or repeated) | Linked comparison levels: 2",classified_behaviour,compare_values,individual,conditions,paired_repeated,False,False,general,full_24h,1,2,,To review,
